"","title","description","streetaddress","type","amenityfeatures","city","state","Year","notes","full.address","lat","lon","geoAddress","unclear_address","status","unique.id"
"640","Time Out","(at Oak) 843/448-1180 5pm-close, till 2am Sat, karaoke Tue & Sun, patio","520 8th Ave N","Bars","(*-1965-2005),(M-1996-2005),(NH-1990-2005),(D-1965-2003),(K-1994-2003),(S-1965-2002),(PC-1990-2005),(WC-1994-2005)","Myrtle Beach","SC",2000,"","520 8th Ave N ,  Myrtle Beach ,  SC",33.693884,-78.884682,"520 8th ave n, myrtle beach, sc 29577, usa","","Google Verified Location","d-2000-06549"
"641","Metropolis","843/626-3151 10pm-close, clsd Mon-Tue, strippers","904 N Chester St","Nightclubs","(M-1996-2005),(S-1965-2002)","Myrtle Beach","SC",2000,"","904 N Chester St ,  Myrtle Beach ,  SC",33.693552,-78.8805997,"904 chester st, myrtle beach, sc 29577, usa","","Google Verified Location","d-2000-06550"
"642","Rainbow House Bistro","(At 11th Ave) 843/626-7298 3pm-5am, till 2am wknds, patio","1004 N Chester St","Restaurants","(MW-1990-2003),(WC-1994-2005)","Myrtle Beach","SC",2000,"","1004 N Chester St ,  Myrtle Beach ,  SC",33.6944675,-78.8796085,"1004 chester st, myrtle beach, sc 29577, usa","","Google Verified Location","d-2000-06551"
"643","Maxwell's (24hr Extra News & Video)","843/626-3140","2027 Hwy 501","Erotica","","Myrtle Beach","SC",2000,"","2027 Hwy 501 ,  Myrtle Beach ,  SC",33.7046565,-78.909115,"2027 us-501, myrtle beach, sc 29577, usa","","Google Verified Location","d-2000-06552"
"644","X-citement Video","843/448-7756 also 3106 Hwy 17 S, 843/272-0744, open 24hrs","2123 Hwy 501","Erotica","","Myrtle Beach","SC",2000,"","2123 Hwy 501 ,  Myrtle Beach ,  SC",33.7058293,-78.9102967,"2123 us-501, myrtle beach, sc 29577, usa","","Google Verified Location","d-2000-06553"
"645","Beach at 82nd Ave","","","Cruisy Areas","Cruisy Area,(AYOR-1977-2005)","Myrtle Beach","SC",2000,"","NA, Myrtle Beach, SC",33.746985,-78.808642,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-2000-06554"
"646","Huntington Beach State Park","Hwy 17 S weekdays","","Cruisy Areas","Cruisy Area,(AYOR-1977-2005)","Myrtle Beach","SC",2000,"","NA, Myrtle Beach, SC",33.514562,-79.060929,"unclear_coded_by_hand","checked","Verified Location","d-2000-06555"
"647","Hurl Rock Park","at 21st Ave S  (south end)","","Cruisy Areas","Cruisy Area,(AYOR-1977-2005)","Myrtle Beach","SC",2000,"","NA, Myrtle Beach, SC",33.669836,-78.904645,"unclear_coded_by_hand","checked","Verified Location","d-2000-06556"
"648","Hideaway","803/328-6630 8pm-close, clsd Mon-Wed","405 Baskins Rd","Bars","(MW-1990-2003),(NH-1990-2005),(PC-1990-2005)","Rock Hill","SC",2000,"","405 Baskins Rd ,  Rock Hill ,  SC",34.9435787,-80.9875283,"405 e baskins rd, rock hill, sc 29730, usa","","Google Verified Location","d-2000-06557"
"649","Cheyenne Cattlemen's Club","864/573-7304 8pm-2am, till 4am Fri, from 3pm Sun","995 Asheville Hwy","Nightclubs","(M-1996-2005),(D-1965-2003),(S-1965-2002),(PC-1990-2005)","Spartanburg","SC",2000,"","995 Asheville Hwy ,  Spartanburg ,  SC",34.9690852,-81.9500202,"995 asheville hwy, spartanburg, sc 29303, usa","","Google Verified Location","d-2000-06558"
"650","Cove Lounge & Club","864/576-2683 8pm-close, from 6pm Sun, patio","9112 Greenville Hwy","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-1965-2002),(PC-1990-2005),(WC-1994-2005)","Spartanburg","SC",2000,"","9112 Greenville Hwy ,  Spartanburg ,  SC",34.939297,-82.031476,"","","Google Verified Location","d-2000-06559"
"651","Cleveland Park","Asheville Hwy  (btwn I-85 & Spartanburg) days","","Cruisy Areas","Cruisy Area,(AYOR-1977-2005)","Spartanburg","SC",2000,"","NA, Spartanburg, SC",34.965714,-81.950684,"unclear_coded_by_hand","checked","Verified Location","d-2000-06560"
"652","Millikan Park","off I-85  days","","Cruisy Areas","Cruisy Area,(AYOR-1977-2005)","Spartanburg","SC",2000,"","NA, Spartanburg, SC",34.988011,-81.954845,"unclear_coded_by_hand","checked","Verified Location","d-2000-06561"
"653","X-citement Video","843/272-0744, open 24hrs","3106 Hwy 17 S","Erotica","","Myrtle Beach","SC",2000,"location from previous entry's description","3106 Hwy 17 S ,  Myrtle Beach ,  SC",33.8055215,-78.7204126,"3106 hwy 17 s, north myrtle beach, sc 29582, usa","","Google Verified Location","d-2000-06602"
"654","1854 B&B","803/723-4789","34 Montagu St","Accommodations","(MW-1990-2003)","Charleston","SC",1999,"","34 Montagu St ,  Charleston ,  SC",32.7813319,-79.9406065,"34 montagu st, charleston, sc 29401, usa","","Google Verified Location","d-1999-04819"
"655","65 Radcliff Street","803/577-6183 clsd Jan-Mar","65 Radcliff St","Accommodations","(MW-1990-2003)","Charleston","SC",1999,"","65 Radcliff St ,  Charleston ,  SC",32.7873842,-79.9438297,"65 radcliffe st, charleston, sc 29403, usa","","Google Verified Location","d-1999-04820"
"656","A B&B @ Unity Alley","843/577-6660 full brkfst","4 Unity Alley","Accommodations","(GS-1999-2003)","Charleston","SC",1999,"","4 Unity Alley ,  Charleston ,  SC",32.7782494,-79.9275753,"4 unity aly, charleston, sc 29401, usa","","Google Verified Location","d-1999-04821"
"657","Calhoun House","843/722-7341","273 Calhoun St","Accommodations","(MW-1990-2003),(NS-1998-2005)","Charleston","SC",1999,"","273 Calhoun St ,  Charleston ,  SC",32.7829305,-79.946054,"273 calhoun st, charleston, sc 29401, usa","","Google Verified Location","d-1999-04822"
"658","Crabapple Cottage","Goose Creek 803/797-6855 full brkfst, other meals available","300-F Medway Rd","Accommodations","(MW-1990-2003),(SW-1990-2005)","Charleston","SC",1999,"","300-F Medway Rd ,  Charleston ,  SC",33.0315986,-79.9700639,"300 medway rd f, goose creek, sc 29445, usa","","Google Verified Location","d-1999-04823"
"659","Dudley's","(at Burns Ln) 803/723-2784 4pm-3am","346 King St","Bars","(M-1996-2005),(NH-1990-2005),(E-1975-2003),(K-1994-2003),(PC-1990-2005)","Charleston","SC",1999,"","346 King St ,  Charleston ,  SC",32.7848012,-79.9353488,"346 king st, charleston, sc 29401, usa","","Google Verified Location","d-1999-04824"
"660","The Arcade","803/722-5656 9:30pm-close, clsd Mon-Wed","5 Liberty St","Nightclubs","(*-1965-2005),(M-1996-2005),(D-1965-2003),(A-1994-2003),(K-1994-2003),(S-1965-2002),(YC-1969-2005),(WC-1994-2005)","Charleston","SC",1999,"","5 Liberty St ,  Charleston ,  SC",32.782803,-79.9350537,"beatty center for the school of business, 5 liberty st, charleston, sc 29401, usa","","Google Verified Location","d-1999-04825"
"661","Bear E Patch","803/762-6555 7am-6pm, patio","801 Folly Rd","Cafes","(WC-1994-2005)","Charleston","SC",1999,"","801 Folly Rd ,  Charleston ,  SC",32.7396082,-79.9674208,"801 folly rd, charleston, sc 29412, usa","","Google Verified Location","d-1999-04826"
"662","Blossom Cafe","803/722-9200 11:30am-midnight, till 1am wknds","171 E Bay St","Restaurants","","Charleston","SC",1999,"","171 E Bay St ,  Charleston ,  SC",32.7789158,-79.927341,"171 e bay st, charleston, sc 29401, usa","","Google Verified Location","d-1999-04827"
"663","Cafe Suzanne","803/588-2101 5:30pm-9:30pm, Sun brunch, clsd Mon","4 Center St","Restaurants","(E-1975-2003)","Charleston","SC",1999,"","4 Center St ,  Charleston ,  SC",32.799609,-79.9439929,"4 c st, charleston, sc 29403, usa","","Google Verified Location","d-1999-04828"
"664","Mickey's","803/723-7121 24hrs","137 Market St","Restaurants","(*-1965-2005)","Charleston","SC",1999,"","137 Market St ,  Charleston ,  SC",32.7804782,-79.9326476,"137 market st, charleston, sc 29401, usa","","Google Verified Location","d-1999-04829"
"665","St Johns Island Cafe","St Johns Island 803/559-9090 brkfst & lunch Mon-Sat, dinner Wed-Sat, Southern","3406 Maybank Hwy","Restaurants","(*-1965-2005),(BW-1990-2003)","Charleston","SC",1999,"","3406 Maybank Hwy ,  Charleston ,  SC",32.7270884,-80.0701027,"3406 maybank hwy, johns island, sc 29455, usa","","Google Verified Location","d-1999-04830"
"666","Vickery's of Beaufian Street","803/577-5300 11am-3am, Cuban influence","15 Beaufain St","Restaurants","(*-1965-2005)","Charleston","SC",1999,"","15 Beaufain St ,  Charleston ,  SC",32.7808639,-79.9344427,"15 beaufain st, charleston, sc 29401, usa","","Google Verified Location","d-1999-04831"
"667","Excited Video","N Charleston 803/744-5380 24hrs","2070 Harley Ave","Erotica","","Charleston","SC",1999,"","2070 Harley Ave ,  Charleston ,  SC",32.892483,-80.0122573,"2070 harley st, north charleston, sc 29406, usa","","Google Verified Location","d-1999-04832"
"668","South Carolina Pride Center","803/771-7713 24hr message, live 2pm-10pm Sat","1108 Woodrow St","Info Lines & Services","","Columbia","SC",1999,"","1108 Woodrow St ,  Columbia ,  SC",34.0044704,-81.0046939,"1108 woodrow st, columbia, sc 29205, usa","","Google Verified Location","d-1999-04833"
"669","Capital Club","803/256-6464 5pm-2am","1002 Gervais St","Bars","(M-1996-2005),(NH-1990-2005),(P-1990-2002),(PC-1990-2005),(WC-1994-2005)","Columbia","SC",1999,"","1002 Gervais St ,  Columbia ,  SC",34.0001224,-81.0365407,"1002 gervais st, columbia, sc 29201, usa","","Google Verified Location","d-1999-04834"
"670","Downtown","803/256-8399 5pm-4am, till 2am Sat, clsd Sun","1109 Assembly","Bars","(M-1996-2005),(NH-1990-2005),(S-1965-2002),(PC-1990-2005)","Columbia","SC",1999,"","1109 Assembly ,  Columbia ,  SC",33.9997559,-81.0353477,"1109 assembly st, columbia, sc 29201, usa","","Google Verified Location","d-1999-04835"
"671","Traxx","803/256-1084 4pm-2am, from 6pm Sat","416 Lincoln St","Bars","(W-1990-2005),(D-1965-2003),(E-1975-2003),(PC-1990-2005),(WC-1994-2005)","Columbia","SC",1999,"","416 Lincoln St ,  Columbia ,  SC",33.9896649,-81.033625,"416 lincoln st, columbia, sc 29201, usa","","Google Verified Location","d-1999-04836"
"672","Candy Shop","","1903 Two Notch Rd","Nightclubs","(M-1996-2005),(D-1965-2003),(MR-AF-1994-2003),(PC-1990-2005)","Columbia","SC",1999,"","1903 Two Notch Rd ,  Columbia ,  SC",34.0175913,-81.0149607,"1903 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1999-04837"
"673","Metropolis","803/799-8727 10pm-close, from 9pm Fri-Sun, clsd Mon","1801 Landing","Nightclubs","(MW-1990-2003),(D-1965-2003),(S-1965-2002),(PC-1990-2005)","Columbia","SC",1999,"","1801 Landing ,  Columbia ,  SC",34.0007104,-81.0348144,"columbia, sc, usa","","Google Verified Location","d-1999-04838"
"674","Alley Cafe","803/771-2778 lunch Tue-Fri, dinner Tue-Sat, full bar","911 Lady St","Restaurants","","Columbia","SC",1999,"","911 Lady St ,  Columbia ,  SC",34.001697,-81.03868,"","","Google Verified Location","d-1999-04839"
"675","Intermezzo","803/799-2276 10am-midnight","2015 Devine St","Bookstores","","Columbia","SC",1999,"","2015 Devine St ,  Columbia ,  SC",33.9989254,-81.0166503,"2015 devine st, columbia, sc 29205, usa","","Google Verified Location","d-1999-04840"
"676","Stardust Books","803/771-0633 10:30am-6pm, clsd Sun-Mon, spiritual","2000 Blossom St","Bookstores","","Columbia","SC",1999,"","2000 Blossom St ,  Columbia ,  SC",33.9973474,-81.0162622,"2000 blossom st, columbia, sc 29205, usa","","Google Verified Location","d-1999-04841"
"677","Video Magic","803/786-8125 clsd Sun","5445 Two Notch Rd","Erotica","","Columbia","SC",1999,"","5445 Two Notch Rd ,  Columbia ,  SC",34.0506524,-80.9847246,"5445 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1999-04842"
"678","Rascal's Deli & Lounge","803/665-2555 5pm-2am, from 7pm Sat, from 3pm Sun","526 S Irby St","Bars","(MW-1990-2003),(S-1965-2002),(PC-1990-2005)","Florence","SC",1999,"","526 S Irby St ,  Florence ,  SC",34.1885254,-79.7675912,"526 s irby st, florence, sc 29501, usa","","Google Verified Location","d-1999-04843"
"679","The Castle","864/235-9949 9:30pm-4am, clsd Mon-Wed","8 Le Grand Blvd","Nightclubs","(*-1965-2005),(MW-1990-2003),(D-1965-2003),(S-1965-2002),(V-1986-2005),(YC-1969-2005),(PC-1990-2005)","Greenville","SC",1999,"","8 Le Grand Blvd ,  Greenville ,  SC",34.8361438,-82.3681104,"8 legrand blvd, greenville, sc 29607, usa","","Google Verified Location","d-1999-04844"
"680","Club 621","864/234-6767 7pm-4am, from 1pm wknds","621 Airport Rd","Nightclubs","(*-1965-2005),(M-1996-2005),(D-1965-2003),(V-1986-2005),(SW-1990-2005),(PC-1990-2005)","Greenville","SC",1999,"","621 Airport Rd ,  Greenville ,  SC",34.844207,-82.345185,"621 airport rd, greenville, sc 29607, usa","","Google Verified Location","d-1999-04845"
"681","New Attitude","864/233-1387 10pm-close wknds, unconfirmed","706 W Washington St","Nightclubs","(*-1965-2005),(MW-1990-2003),(MR-AF-1994-2003),(D-1965-2003)","Greenville","SC",1999,"","706 W Washington St ,  Greenville ,  SC",34.8553243,-82.4088654,"706 w washington st, greenville, sc 29601, usa","","Google Verified Location","d-1999-04846"
"682","South Ramp","864/242-0102 7pm-midnight, till 2am Fri-Sat, 3pm-midnight Sun, clsd Mon-Tue","404 Airport Rd","Nightclubs","(MW-1990-2003),(D-1965-2003),(CW-1982-2003),(WC-1994-2005)","Greenville","SC",1999,"","404 Airport Rd ,  Greenville ,  SC",34.844302,-82.3537259,"404 airport rd, greenville, sc 29607, usa","","Google Verified Location","d-1999-04847"
"683","Moon Jammers","Pope Ave 803/842-9195 8pm-2am","11 Heritage Plaza","Bars","(MW-1990-2003),(NH-1990-2005),(D-1965-2003),(A-1994-2003),(S-1965-2002),(PC-1990-2005),(WC-1994-2005)","Hilton Head","SC",1999,"","11 Heritage Plaza ,  Hilton Head ,  SC",32.131354,-80.807477,"","","Google Verified Location","d-1999-04848"
"684","Time Out","843/448-1180 5pm-close, till 2am Sat","520 8th Ave N","Bars","(*-1965-2005),(M-1996-2005),(NH-1990-2005),(D-1965-2003),(S-1965-2002),(PC-1990-2005),(WC-1994-2005)","Myrtle Beach","SC",1999,"","520 8th Ave N ,  Myrtle Beach ,  SC",33.693884,-78.884682,"520 8th ave n, myrtle beach, sc 29577, usa","","Google Verified Location","d-1999-04849"
"685","Metropolis","843/626-3151 10pm-close, clsd Mon-Tue","1904 N Chester St","Nightclubs","(M-1996-2005),(S-1965-2002)","Myrtle Beach","SC",1999,"","1904 N Chester St ,  Myrtle Beach ,  SC",33.6981528,-78.8755902,"1904 chester st, myrtle beach, sc 29577, usa","","Google Verified Location","d-1999-04850"
"686","Rainbow House Bistro","(at 11th Ave) 843/626-7298 3pm-5am, till 2am wknds, patio","1004 N Chester St","Restaurants","(MW-1990-2003),(WC-1994-2005)","Myrtle Beach","SC",1999,"","1004 N Chester St ,  Myrtle Beach ,  SC",33.6944675,-78.8796085,"1004 chester st, myrtle beach, sc 29577, usa","","Google Verified Location","d-1999-04851"
"687","Maxwell's (24hr Extra News & Video)","843/626-3140","2027 Hwy 501","Erotica","","Myrtle Beach","SC",1999,"","2027 Hwy 501 ,  Myrtle Beach ,  SC",33.7046565,-78.909115,"2027 us-501, myrtle beach, sc 29577, usa","","Google Verified Location","d-1999-04852"
"688","Hideaway","803/328-6630 8pm-close, clsd Mon-Wed, unconfirmed","405 Baskins Rd","Bars","(MW-1990-2003),(NH-1990-2005),(PC-1990-2005)","Rock Hill","SC",1999,"","405 Baskins Rd ,  Rock Hill ,  SC",34.9435787,-80.9875283,"405 e baskins rd, rock hill, sc 29730, usa","","Google Verified Location","d-1999-04853"
"689","Cheyenne Cattlemen's Club","864/573-7304 8pm-2am, till 4am Fri, from 3pm Sun","995 Ashville Hwy","Nightclubs","(M-1996-2005),(D-1965-2003),(S-1965-2002),(PC-1990-2005)","Spartanburg","SC",1999,"","995 Ashville Hwy ,  Spartanburg ,  SC",34.9690852,-81.9500202,"995 asheville hwy, spartanburg, sc 29303, usa","","Google Verified Location","d-1999-04854"
"690","Cove Lounge & Club","864/576-2683 from 8pm, from 3pm Sun","9112 Greenville Hwy","Nightclubs","(MW-1990-2003),(D-1965-2003),(PC-1990-2005)","Spartanburg","SC",1999,"","9112 Greenville Hwy ,  Spartanburg ,  SC",34.939297,-82.031476,"","","Google Verified Location","d-1999-04855"
"691","AA Gay/Lesbian","803/254-5301 call for mtg schedule","","Info Lines & Services","","Columbia","SC",1999,"",", Columbia, SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-05629"
"692","Acceptance Group (Gay AA)","St Stephen's Episcopal on Anson St 803/762-2433, 803/747-8774 (AA#) 8pm Tue & 6:30pm Sat","","Info Lines & Services","","Charleston","SC",1999,"",", Charleston, SC",32.784948,-79.931185,"unclear_coded_by_hand","checked","Verified Location","d-1999-05660"
"693","Beach at 82nd Ave","","","Cruisy Areas","(AYOR-1977-2005)","Myrtle Beach","SC",1999,"",", Myrtle Beach, SC",33.746985,-78.808642,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-05761"
"694","Charleston Beach B&B","803/588-9443 full brkfst, spa","","Accommodations","(MW-1990-2003),(SW-1990-2005),(N-1990-2005)","Charleston","SC",1999,"",", Charleston, SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-05927"
"695","Cleveland Park","Ashville Hwy (btwn I-85 & Spartenburg), days","","Cruisy Areas","(AYOR-1977-2005)","Spartanburg","SC",1999,"",", Spartanburg, SC",34.965714,-81.950684,"unclear_coded_by_hand","checked","Verified Location","d-1999-05958"
"696","Coligny Circle Beach","So of the Holiday Inn (at the end of Pope Ave)","","Cruisy Areas","(AYOR-1977-2005)","Hilton Head","SC",1999,"",", Hilton Head, SC",32.141562,-80.751062,"unclear_coded_by_hand","checked","Verified Location","d-1999-05969"
"697","Community Real Estate Referrals","800/346-5592 gay realtor at your service, no rentals","","Info Lines & Services","","Columbia","SC",1999,"",", Columbia, SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-05993"
"698","Community Real Estate Referrals","800/346-5592 gay realtor at your service, no rentals","","Info Lines & Services","","Charleston","SC",1999,"",", Charleston, SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-06016"
"699","Community Real Estate Referrals","800/346-5592 gay realtor at your service, no rentals","","Info Lines & Services","","Hilton Head","SC",1999,"",", Hilton Head, SC",32.175496,-80.770569,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-06030"
"700","Folly Beach","","","Cruisy Areas","(AYOR-1977-2005)","Charleston","SC",1999,"",", Charleston, SC",32.65518,-79.940367,"unclear_coded_by_hand","checked","Verified Location","d-1999-06340"
"701","Huntington Beach State Park","Hwy 17 S weekdays","","Cruisy Areas","(AYOR-1977-2005)","Myrtle Beach","SC",1999,"",", Myrtle Beach, SC",33.514562,-79.060929,"unclear_coded_by_hand","checked","Verified Location","d-1999-06606"
"702","Hurl Rock Park","at 21st Ave S (south end)","","Cruisy Areas","(AYOR-1977-2005)","Myrtle Beach","SC",1999,"",", Myrtle Beach, SC",33.669836,-78.904645,"unclear_coded_by_hand","checked","Verified Location","d-1999-06607"
"703","In Unison","803/771-0804 lesbigay newspaper for the Carolinas","","Publications","","Charleston","SC",1999,"",", Charleston, SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-06628"
"704","In Unison","803/771-0804 lesbigay newspaper for the Carolinas","","Publications","","Columbia","SC",1999,"",", Columbia, SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-06629"
"705","Jeffries Creek Park","","","Cruisy Areas","(AYOR-1977-2005)","Florence","SC",1999,"",", Florence, SC",34.173651,-79.792304,"unclear_coded_by_hand","checked","Verified Location","d-1999-06654"
"706","Lake Murray Dam","","","Cruisy Areas","(AYOR-1977-2005)","Columbia","SC",1999,"",", Columbia, SC",34.053204,-81.217875,"unclear_coded_by_hand","checked","Verified Location","d-1999-06719"
"707","LGLA (Lowcountry Gay/Lesbian Alliance) Infoline","803/720-8088","","Info Lines & Services","","Charleston","SC",1999,"",", Charleston, SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-06802"
"708","Millikan Park","off I-85 days","","Cruisy Areas","(AYOR-1977-2005)","Spartanburg","SC",1999,"",", Spartanburg, SC",34.988011,-81.954845,"unclear_coded_by_hand","checked","Verified Location","d-1999-06967"
"709","Pinckney Island Park","Hwy 278 days","","Cruisy Areas","(AYOR-1977-2005)","Hilton Head","SC",1999,"",", Hilton Head, SC",32.228939,-80.785657,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-07155"
"710","Q Notes","704/531-9988","","Publications","","Charleston","SC",1999,"",", Charleston, SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-07209"
"711","Senate Street","nr the university","","Cruisy Areas","(AYOR-1977-2005)","Columbia","SC",1999,"",", Columbia, SC",34.000483,-81.0308,"unclear_coded_by_hand","checked","Verified Location","d-1999-07369"
"712","South Carolina Division of Tourism","803/734-0235","","Info Lines & Services","","Columbia","SC",1999,"",", Columbia, SC",34.00071,-81.034814,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-07412"
"713","The Battery","White Point Garden","","Cruisy Areas","(AYOR-1977-2005)","Charleston","SC",1999,"",", Charleston, SC",32.769936,-79.930361,"unclear_coded_by_hand","checked","Verified Location","d-1999-07499"
"714","The Front Page","919/829-0181 lesbigay newspaper for the Carolinas","","Publications","","Charleston","SC",1999,"",", Charleston, SC",32.776475,-79.931051,"unclear_coded_by_hand","checked","Location could not be verified. General city or location coordinates used.","d-1999-07534"
"715","Timrod Park","","","Cruisy Areas","(AYOR-1977-2005)","Florence","SC",1999,"",", Florence, SC",34.185242,-79.770835,"unclear_coded_by_hand","checked","Verified Location","d-1999-07658"
"716","Waterfront Park","pier & promenade","","Cruisy Areas","(AYOR-1977-2005)","Charleston","SC",1999,"",", Charleston, SC",32.778966,-79.925546,"unclear_coded_by_hand","checked","Verified Location","d-1999-07742"
"717","","St. Stephen's Episcopal (Anson St.)  762-2433/747-8774 (AA#) 8pm Tue & 6:30pm Sat ","","Info Lines & Services","","Charleston","SC",1998,"","",32.784948,-79.931185,"","","Verified Location","d-1998-01688"
"718","","588-9443, full brkfst, spa ","","Accommodations","(MW-1990-2003),(SW-1990-2005),(N-1990-2005)","Charleston","SC",1998,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-1998-01689"
"719","","(800) 346-5592 gay realtor at your service, no rentals","","Info Lines & Services","(*-1965-2005),(NS-1998-2005)","Charleston","SC",1998,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-1998-01690"
"720","","","","Cruisy Areas","(AYOR-1977-2005)","Charleston","SC",1998,"","",32.65518,-79.940367,"","","Verified Location","d-1998-01691"
"721","","771-0804","","Publications","(*-1965-2005),(NS-1998-2005)","Charleston","SC",1998,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-1998-01692"
"722","","720-8088","","Info Lines & Services","(*-1965-2005),(NS-1998-2005)","Charleston","SC",1998,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-1998-01693"
"723","","(704) 531-9988","","Publications","(*-1965-2005),(NS-1998-2005)","Charleston","SC",1998,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-1998-01694"
"724","","sea wall","","Cruisy Areas","(AYOR-1977-2005)","Charleston","SC",1998,"","",32.769936,-79.930361,"","","Verified Location","d-1998-01695"
"725","","(919) 829-0181","","Publications","(*-1965-2005),(NS-1998-2005)","Charleston","SC",1998,"","",32.776475,-79.931051,"","","Location could not be verified. General city or location coordinates used.","d-1998-01696"
"726",""," pier & promenade","","Cruisy Areas","(AYOR-1977-2005)","Charleston","SC",1998,"","",32.778966,-79.925546,"","","Verified Location","d-1998-01697"
"727","","(800) 346-5592 gay realtor at your service no rentals ","","Info Lines & Services","(*-1965-2005),(NS-1998-2005)","Columbia","SC",1998,"","",34.00071,-81.034814,"","","Location could not be verified. General city or location coordinates used.","d-1998-01698"
"728","","254-5301 call for mtg. schedule","","Info Lines & Services","(*-1965-2005),(NS-1998-2005)","Columbia","SC",1998,"","",34.00071,-81.034814,"","","Location could not be verified. General city or location coordinates used.","d-1998-01699"
"729","","771-0804","","Publications","(*-1965-2005),(NS-1998-2005)","Columbia","SC",1998,"","",34.00071,-81.034814,"","","Location could not be verified. General city or location coordinates used.","d-1998-01700"
"730","","","","Cruisy Areas","(AYOR-1977-2005)","Columbia","SC",1998,"","",34.053204,-81.217875,"","","Verified Location","d-1998-01701"
"731","","nr. State House ","","Cruisy Areas","(AYOR-1977-2005)","Columbia","SC",1998,"","",34.000483,-81.0308,"","","Verified Location","d-1998-01702"
"732","","734-0235","","Info Lines & Services","(*-1965-2005),(NS-1998-2005)","Columbia","SC",1998,"","",34.00071,-81.034814,"","","Location could not be verified. General city or location coordinates used.","d-1998-01703"
"733","","","","Cruisy Areas","(AYOR-1977-2005)","Florence","SC",1998,"","",34.173651,-79.792304,"","","Verified Location","d-1998-01704"
"734","","","","Cruisy Areas","(AYOR-1977-2005)","Florence","SC",1998,"","",34.185242,-79.770835,"","","Verified Location","d-1998-01705"
"735","","(800) 346-5592 gay realtor at your service no rentals","","Info Lines & Services","(*-1965-2005),(NS-1998-2005)","Hilton Head","SC",1998,"","",32.175496,-80.770569,"","","Location could not be verified. General city or location coordinates used.","d-1998-01706"
"736","","11 Heritage Plaza, Pope Ave 842-9195 8pm-2am","","Bars & Nightclubs","(MW-1990-2003),(NH-1990-2005),(D-1965-2003),(A-1994-2003),(S-1965-2002),(PC-1990-2005),(WC-1994-2005)","Hilton Head","SC",1998,"","",32.216316,-80.752608,"","","Location could not be verified. General city or location coordinates used.","d-1998-01707"
"737","","","","Cruisy Areas","(AYOR-1977-2005)","Myrtle Beach","SC",1998,"","",33.746985,-78.808642,"","","Location could not be verified. General city or location coordinates used.","d-1998-01708"
"738","","at 21st Ave S. (south end) ","","Cruisy Areas","(AYOR-1977-2005)","Myrtle Beach","SC",1998,"","",33.669836,-78.904645,"","","Verified Location","d-1998-01709"
"739","","","","Cruisy Areas","(AYOR-1977-2005)","Spartanburg","SC",1998,"","",34.988011,-81.954845,"","","Verified Location","d-1998-01710"
"740","The Arcade","722-5656 9:30pm-?, clsd Mon-Wed","5 Liberty St","Bars & Nightclubs","(D-1965-2003),(A-1994-2003),(K-1994-2003),(S-1965-2002),(YC-1969-2005),(WC-1994-2005),(*-1965-2005),(M-1996-2005)","Charleston","SC",1998,"","5 Liberty St, Charleston, SC",32.782803,-79.9350537,"beatty center for the school of business, 5 liberty st, charleston, sc 29401, usa","","","d-1998-02147"
"741","Charleston Columns","722-7341","8 Vanderhorst St","Accommodations","(MW-1990-2003),(NS-1998-2005)","Charleston","SC",1998,"","8 Vanderhorst St, Charleston, SC",32.787303,-79.9380484,"8 vanderhorst st, charleston, sc 29403, usa","","","d-1998-02149"
"742","65 Radcliff Street","577-6183","65 Radcliff St","Accommodations","(MW-1990-2003)","Charleston","SC",1998,"","65 Radcliff St, Charleston, SC",32.7873842,-79.9438297,"65 radcliffe st, charleston, sc 29403, usa","","","d-1998-02156"
